location,year,woy,temp,popu,mort,date
PT111,2000,1,6.400506591797011,229066,93,2000-01-06
PT111,2000,2,3.081345040458018,229066,68,2000-01-13
PT111,2000,3,2.6648236955920197,229066,69,2000-01-20
PT111,2000,4,4.2370370047430015,229066,92,2000-01-27
PT111,2000,5,8.78990216936404,229066,78,2000-02-03
PT111,2000,6,9.643243408203034,229066,75,2000-02-10
PT111,2000,7,9.004955182757044,229066,95,2000-02-17
PT111,2000,8,10.072647530691995,229066,64,2000-02-24
PT111,2000,9,9.06539742606003,229066,61,2000-03-02
PT111,2000,10,13.136097935268026,229066,54,2000-03-09
PT111,2000,11,12.45181535993305,229066,60,2000-03-16
PT111,2000,12,9.150144740514008,229066,56,2000-03-23
PT111,2000,13,7.726312255860023,229066,56,2000-03-30
PT111,2000,14,9.076946149554033,229066,58,2000-04-06
PT111,2000,15,8.397441755022044,229066,52,2000-04-13
PT111,2000,16,10.483174351284049,229066,53,2000-04-20
PT111,2000,17,9.828607177735023,229066,57,2000-04-27
PT111,2000,18,12.98741193498904,229066,59,2000-05-04
PT111,2000,19,13.093233816964016,229066,47,2000-05-11
PT111,2000,20,15.419004603795031,229066,43,2000-05-18
PT111,2000,21,14.214331926618001,229066,58,2000-05-25
PT111,2000,22,16.68925083705301,229066,51,2000-06-01
PT111,2000,23,14.75460641043503,229066,43,2000-06-08
PT111,2000,24,22.109512765066995,229066,65,2000-06-15
PT111,2000,25,18.35393240792405,229066,53,2000-06-22
PT111,2000,26,17.660158865792027,229066,46,2000-06-29
PT111,2000,27,16.691352190290047,229066,41,2000-07-06
PT111,2000,28,18.750756835938034,229066,35,2000-07-13
PT111,2000,29,18.85430733817003,229066,50,2000-07-20
PT111,2000,30,18.172152273996005,229066,43,2000-07-27
PT111,2000,31,19.358501325335,229066,47,2000-08-03
PT111,2000,32,20.54236101423004,229066,47,2000-08-10
PT111,2000,33,19.406440080915047,229066,42,2000-08-17
PT111,2000,34,16.07886003766805,229066,46,2000-08-24
PT111,2000,35,17.463473074777028,229066,42,2000-08-31
PT111,2000,36,20.503651646206038,229066,40,2000-09-07
PT111,2000,37,17.864726911272044,229066,48,2000-09-14
PT111,2000,38,14.35111607142801,229066,38,2000-09-21
PT111,2000,39,13.910254778181013,229066,58,2000-09-28
PT111,2000,40,14.77066301618305,229066,52,2000-10-05
PT111,2000,41,11.302828543527028,229066,54,2000-10-12
PT111,2000,42,12.02078072684202,229066,58,2000-10-19
PT111,2000,43,12.893496268136005,229066,55,2000-10-26
PT111,2000,44,10.45187203543503,229066,48,2000-11-02
PT111,2000,45,6.955072021485023,229066,57,2000-11-09
PT111,2000,46,7.094245256696013,229066,65,2000-11-16
PT111,2000,47,10.189708600726021,229066,63,2000-11-23
PT111,2000,48,11.19287370954305,229066,51,2000-11-30
PT111,2000,49,11.154853166853002,229066,74,2000-12-07
PT111,2000,50,9.006834193638042,229066,61,2000-12-14
PT111,2000,51,8.935832868304033,229066,54,2000-12-21
PT111,2000,52,8.410001918248042,229066,51,2000-12-28
PT111,2001,1,8.867041887556013,229066,68,2001-01-04
PT111,2001,2,7.678011648996005,229066,72,2001-01-11
PT111,2001,3,6.921537562779008,229066,56,2001-01-18
PT111,2001,4,8.791223144531045,229066,71,2001-01-25
PT111,2001,5,8.327421351840997,229066,49,2001-02-01
PT111,2001,6,9.266896275112003,229066,64,2001-02-08
PT111,2001,7,9.040050397601021,229066,61,2001-02-15
PT111,2001,8,7.243933977400047,229066,57,2001-02-22
PT111,2001,9,7.174445452009024,229066,56,2001-03-01
PT111,2001,10,11.740890938895006,229066,51,2001-03-08
PT111,2001,11,9.49110020228801,229066,56,2001-03-15
PT111,2001,12,11.73755144391805,229066,55,2001-03-22
PT111,2001,13,10.639045061384024,229066,51,2001-03-29
PT111,2001,14,10.958625139509024,229066,50,2001-04-05
PT111,2001,15,12.592649623325997,229066,54,2001-04-12
PT111,2001,16,10.375944301060997,229066,60,2001-04-19
PT111,2001,17,10.562886265346037,229066,60,2001-04-26
PT111,2001,18,8.955111258371005,229066,40,2001-05-03
PT111,2001,19,11.495455496652028,229066,55,2001-05-10
PT111,2001,20,13.97493024553603,229066,52,2001-05-17
PT111,2001,21,16.239077322824016,229066,49,2001-05-24
PT111,2001,22,21.574007742746005,229066,62,2001-05-31
PT111,2001,23,15.431983293806013,229066,51,2001-06-07
PT111,2001,24,14.953450230190015,229066,45,2001-06-14
PT111,2001,25,20.904927280971037,229066,66,2001-06-21
PT111,2001,26,19.050679234096037,229066,39,2001-06-28
PT111,2001,27,16.544898332868,229066,32,2001-07-05
PT111,2001,28,17.191312953404008,229066,52,2001-07-12
PT111,2001,29,16.278174700056013,229066,53,2001-07-19
PT111,2001,30,19.442494419643026,229066,43,2001-07-26
PT111,2001,31,20.432523890904008,229066,49,2001-08-02
PT111,2001,32,20.559830147880007,229066,60,2001-08-09
PT111,2001,33,17.475226702009024,229066,44,2001-08-16
PT111,2001,34,20.206275285993,229066,48,2001-08-23
PT111,2001,35,18.732154192243,229066,46,2001-08-30
PT111,2001,36,20.644281005859,229066,46,2001-09-06
PT111,2001,37,19.12706909179701,229066,47,2001-09-13
PT111,2001,38,17.053552246094,229066,53,2001-09-20
PT111,2001,39,14.976674107143026,229066,39,2001-09-27
PT111,2001,40,15.220736258371005,229066,59,2001-10-04
PT111,2001,41,14.818972342355039,229066,43,2001-10-11
PT111,2001,42,13.327399553572036,229066,42,2001-10-18
PT111,2001,43,13.660647147042027,229066,46,2001-10-25
PT111,2001,44,14.105126953125023,229066,50,2001-11-01
PT111,2001,45,8.578829520089016,229066,62,2001-11-08
PT111,2001,46,6.739256068639008,229066,71,2001-11-15
PT111,2001,47,6.273100062779008,229066,57,2001-11-22
PT111,2001,48,8.141272844587036,229066,65,2001-11-29
PT111,2001,49,6.75870012555805,229066,61,2001-12-06
PT111,2001,50,3.8348240443640407,229066,76,2001-12-13
PT111,2001,51,2.0615478515630343,229066,82,2001-12-20
PT111,2001,52,3.6137329101560454,229066,84,2001-12-27
PT111,2002,1,8.931730433873042,229066,87,2002-01-03
PT111,2002,2,5.786052594866021,229066,75,2002-01-10
PT111,2002,3,7.153619384766046,229066,74,2002-01-17
PT111,2002,4,9.289557756696013,229066,77,2002-01-24
PT111,2002,5,9.894529506138042,229066,76,2002-01-31
PT111,2002,6,9.58448835100404,229066,62,2002-02-07
PT111,2002,7,7.89173496791301,229066,61,2002-02-14
PT111,2002,8,7.437598528181013,229066,59,2002-02-21
PT111,2002,9,7.136612374441995,229066,52,2002-02-28
PT111,2002,10,8.963555908203034,229066,47,2002-03-07
PT111,2002,11,8.472824532645006,229066,58,2002-03-14
PT111,2002,12,13.808587646484,229066,63,2002-03-21
PT111,2002,13,12.178016008650047,229066,45,2002-03-28
PT111,2002,14,8.177235630580014,229066,51,2002-04-04
PT111,2002,15,9.321239362444032,229066,57,2002-04-11
PT111,2002,16,11.009681047712036,229066,50,2002-04-18
PT111,2002,17,15.441748918806013,229066,71,2002-04-25
PT111,2002,18,10.591394042969,229066,57,2002-05-02
PT111,2002,19,11.356931849889008,229066,56,2002-05-09
PT111,2002,20,13.653331647599998,229066,55,2002-05-16
