location,name_off,name_eng,level,nuts0,nuts1,nuts2,nuts3,year_shp,year_ini,year_end
PT111,"Alto,Minho","Alto,Minho",3,PT,PT1,PT11,PT111,2021,2000,2023
PT112,Cávado,Cávado,3,PT,PT1,PT11,PT112,2021,2000,2023
PT119,Ave,Ave,3,PT,PT1,PT11,PT119,2021,2000,2023
PT11A,"Área,Metropolitana,Do,Porto","Área,Metropolitana,Do,Porto",3,PT,PT1,PT11,PT11A,2021,2000,2023
PT11B,"Alto,Tâmega","Alto,Tâmega",3,PT,PT1,PT11,PT11B,2021,2000,2023
PT11C,"Tâmega,E,Sousa","Tâmega,E,Sousa",3,PT,PT1,PT11,PT11C,2021,2000,2023
PT11D,Douro,Douro,3,PT,PT1,PT11,PT11D,2021,2000,2023
PT11E,"Terras,De,Trás-Os-Montes","Terras,De,Trás-Os-Montes",3,PT,PT1,PT11,PT11E,2021,2000,2023
PT150,Algarve,Algarve,3,PT,PT1,PT15,PT150,2021,2000,2023
PT16B,Oeste,Oeste,3,PT,PT1,PT16,PT16B,2021,2000,2023
PT16D,"Região,De,Aveiro","Região,De,Aveiro",3,PT,PT1,PT16,PT16D,2021,2000,2023
PT16E,"Região,De,Coimbra","Região,De,Coimbra",3,PT,PT1,PT16,PT16E,2021,2000,2023
PT16F,"Região,De,Leiria","Região,De,Leiria",3,PT,PT1,PT16,PT16F,2021,2000,2023
PT16G,"Viseu,Dão,Lafões","Viseu,Dão,Lafões",3,PT,PT1,PT16,PT16G,2021,2000,2023
PT16H,"Beira,Baixa","Beira,Baixa",3,PT,PT1,PT16,PT16H,2021,2000,2023
PT16I,"Médio,Tejo","Médio,Tejo",3,PT,PT1,PT16,PT16I,2021,2000,2023
PT16J,"Beiras,E,Serra,Da,Estrela","Beiras,E,Serra,Da,Estrela",3,PT,PT1,PT16,PT16J,2021,2000,2023
PT170,"Área,Metropolitana,De,Lisboa","Área,Metropolitana,De,Lisboa",3,PT,PT1,PT17,PT170,2021,2000,2023
PT181,"Alentejo,Litoral","Alentejo,Litoral",3,PT,PT1,PT18,PT181,2021,2000,2023
PT184,"Baixo,Alentejo","Baixo,Alentejo",3,PT,PT1,PT18,PT184,2021,2000,2023
PT185,"Lezíria,Do,Tejo","Lezíria,Do,Tejo",3,PT,PT1,PT18,PT185,2021,2000,2023
PT186,"Alto,Alentejo","Alto,Alentejo",3,PT,PT1,PT18,PT186,2021,2000,2023
PT187,"Alentejo,Central","Alentejo,Central",3,PT,PT1,PT18,PT187,2021,2000,2023
PT200,"Região,Autónoma,Dos,Açores","Região,Autónoma,Dos,Açores",3,PT,PT2,PT20,PT200,2021,2000,2023
PT300,"Região,Autónoma,Da,Madeira","Região,Autónoma,Da,Madeira",3,PT,PT3,PT30,PT300,2021,2000,2023
